year,US CPI
1967,35.980356544026314
1968,38.06160041628888
1969,39.96251008228795
1970,42.184851426730525
1971,44.389292478981986
1972,45.61497371624043
1973,47.66754447822984
1974,51.27284681758651
1975,55.06119982823664
1976,58.39827654468071
1977,62.03990136073416
1978,66.44093430078189
1979,71.8536688395883
1980,78.6750479383191
1981,86.0173637600369
1982,93.45467335722547
1983,99.98903168576663
1984,106.467509357808
1985,112.98164077258836
1986,119.3570898361439
1987,125.68986558243668
1988,132.58092459715408
1989,140.8734049459385
1990,150.13604439755184
1991,159.76783047911948
1992,168.484348455927
1993,176.94982098791633
1994,185.40978219013567
1995,193.2405294907278
1996,201.34407784649696
1997,209.56032777333883
1998,216.9080237926325
1999,223.09994418872213
2000,229.8572776938147
2001,238.02585205083153
2002,246.3933577781148
2003,254.3905031458709
2004,261.2415449823714
2005,268.3461284320794
2006,277.47675952067743
2007,285.54331398667614
2008,295.7599102360534
2009,303.9830429728842
2010,309.59728638190336
2011,314.4224581991312
2012,322.2978794796502
2013,328.74157154014523
2014,334.381946641389
2015,339.38697562317446
2016,346.0343925444552
2017,347.7786261850983
2018,352.72531639867856
2019,358.84305908570406
2020,367.804604398786
2021,375.8063021188611
2022,388.0340360721354
2023,403.6852276026139
